id,hash
003b5fe1-4e9e-49ae-9af4-04eefb96398f,1010110001101100010100110101001010001000101010101011101010000110
019ecc5f-f4cf-43b9-84cd-5d95e39d574e,1001110010010110101001011110001110100100101001101011011010000000
01d9084b-620d-4b08-b79a-931c9e18f1b2,1011100010001100101011011101000111110110101001101111111010000010
01f0e847-0fa6-4c7e-a240-91d333f0bb7e,1001110010101001111000010011010101101100101001101011100010001000
02a27a84-1fff-4764-9a8b-2c7a6485975f,1010110011010011001100111100010110011000111000101111011010000010
02c41d89-334e-40bc-b53b-d63f2687627c,1010110001101010101010011001101010111100101000101010111010000010
045b6009-6215-4d2b-acce-5d90f2d4e391,1010010010010101110010000111001110010100111101101011101010100110
056ae7ca-139e-44a5-88c4-9113e0442219,1001010011100010101011001000100010101010111111001111101011000000
05abbb39-10f8-4015-b81b-028dfc88afa3,1011110011010100101010100100101101011000111011101010111010010110
0630ac22-7c1a-4eac-aa5e-f9e505797952,1101010000110001001010100101010110111000101011001010110010000000
0710b198-d765-4c97-8a1c-d97147a960a9,1100110001101101011110011110010110101110111001101010111010000110
071611fa-e78d-444e-b6ae-58c814543da5,1010100001100101011100010011011111011000111000101001101010000110
081f81c7-fd0c-443c-b8a4-7c9fa10c725b,1100100001101001011101000101110101011000111001101010111010000110
08b98143-1e9f-47a3-a3f5-6d7a98c5284f,1011100010001001100010001101001110111110101100101011011010000110
08c445ea-6a4d-4d51-a38f-b423aa78006c,1011110011100010110101101010001001011010101101101011011010000110
09379023-478a-4ef2-a557-edb93a439501,1010100011010101100111010101100111010000111101101010111010001110
09b484a4-cc3f-43ef-a632-462100bfd1eb,1101001001011000010101100110000110011000100001001001010010000010
0aff36d3-56eb-448c-89e6-cb18780e58bb,1011110011000011100011001010110010111000100101001010101010000110
0b356415-b7a9-40b1-b7df-b36be8718a0c,1001011010011100010111100011110010111100100011101011011010000010
0c826f99-3bb9-40b6-a96e-fa15216c9b01,1100110001010001001010010010111000011010111001001011000010000110
0dadc9ea-fd6b-449e-82cc-ca7cab7da1ce,1011010010101110101100010111000111000100100010101011010010000110
0e2635d8-b467-4d47-a17e-18069de40f40,1000100001010100110100101010010110111100111100101001101010000110
0e514ccd-9e21-4227-9753-8a4dd9f69ea2,1001010001001001011011001001011011110110101000001011111010000010
0e7b091a-cfe3-4824-bae4-e9a38bca31e6,1011100001101001011010000110110101011101100001101011111010000110
0e9c3363-0d23-4279-b0e5-01283b4c84fa,1001010010000100010011010011000111100001100110101001100010011010
1030ef5a-79d5-4479-be1b-9f13709abbaf,1001110001011010100011000111100110110100101001101010111010000110
1031eeaa-6c21-4192-b185-85708819344d,1110010001100110100101001001010110001010101001101010011010000110
10bd513d-9c81-40de-9b81-e02dded059b0,1101100001010111010100010011100101101101100010101010111011100010
1255e40a-8162-4f51-9cb8-6d823d890c42,1011110001110001011100010100111110010100100110101011101010000010
12653a01-38bc-4555-9274-7025cb75542d,1011100001001000010011100001001001010101101001101111001010000100
126e8d21-dbe7-43f5-9b3d-81bcbe306d2f,1010010011011100101010001100100111011110100001101000110010000110
14c426b1-16cd-402f-a348-85d0139d4bdd,1111011010010111100101100101001110001000100011001010110010000000
14ee271d-f545-4fde-a859-f8a1bb92d512,1000110010110110010101011001011010111000101110101110111010000000
160464c0-0d30-4332-bcab-521e51f6b347,1010110000010010001010010101100110101001101110101111110010000010
167630fa-d572-4007-8666-e556684d0dc6,1011000001011010011110000111010001110100101011101001111010000010
1895e487-467c-425e-be65-df64d81f5264,1011001011101010110101101010101010001110100011101001110010000100
18ae0cde-d6df-4833-8717-83866d677d7c,1010110011010010011100110110010010011100101100101111111010000110
1938ea52-29a4-493d-bcf6-032fefa63a53,1001011000111001010010010001100111001101100001101000011010000110
